Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Channel_17,Channel_18,Channel_19,Channel_20,Channel_21,Channel_22,Channel_23,Channel_24,Channel_25,Channel_26,Channel_27,Channel_28,Channel_29,Channel_30
15202859874.008543,18374551871.121292,4477855109.897424,6035140718.181516,39647892.677172,7210052771.935907,7672722135.74168,5922567234.549512,6836135290.080523,3359791208.8375154,11979047320.802721,6428745624.623469,10905155112.000174,7299812967.077696,5536595621.595542,10690174280.513186,15105608169.985922,11606996650.142464,13294963199.79306,25537539010.26443,13918673831.821562,-1074060630.5353546,13928945493.777874,10211714227.072075,-1836587281.4716527,7659615762.136939,12229921075.678291,-12233442431.401138,4983795801.495996,16520210874.205338
15565538458.507168,18655442937.87631,4760444156.528261,6283735114.200259,319726681.3408718,7427578057.097179,7886171465.555037,6173482687.019097,7083148576.880882,3705290339.8022485,12211825728.352453,6733577184.115429,11123148325.318144,7664551846.909537,5880022273.470262,10985664535.124672,15382966268.338913,11900722962.831007,13582472863.651663,25890794203.390972,14231265162.720154,-780000272.8257207,14219325268.475994,10416657711.564314,-1580966570.5858662,8074437127.874141,12615017530.828064,-11803863305.82405,5345793568.067886,16810336234.914719
15922806125.630775,18930927931.312492,5039877176.092423,6529311211.820215,597586836.6405488,7642138904.564676,8096578643.250084,6421368039.966234,7327051818.436328,4047467668.3190193,12440702008.877642,7034652826.776736,11337487021.241026,8025022688.547788,6219663620.212686,11276985404.803137,15655527198.774664,12190029984.980545,13865455029.771986,26237033470.884205,14539084429.886292,-488191011.1260174,14504999274.303501,10618242796.01913,-1327098295.40988,8484577291.218269,12994859428.710482,-11375689781.551783,5703914686.35935,17095335411.722042
16274568011.36209,19200938134.500782,5316081526.024565,6771804944.00044,873153927.6293223,7853680712.974729,8303890468.364116,6666157183.622119,7567779577.486342,4386233437.747285,12665619968.6737,7331895031.191351,11548116797.66799,8381129881.281846,6555430581.723337,11564060596.26412,15923223040.491295,12474844377.428736,14143834717.413841,26576168255.90461,14842050755.837,-198710431.6462738,14785894381.793547,10816418063.90779,-1075051216.5094762,8889928998.864183,13369349243.154173,-10949039764.03965,6058065390.1165085,17375138425.386536
16620763162.673208,19465444702.561127,5588995190.653591,7011165744.632312,1146354714.6920583,8062164619.321904,8508070600.119134,6907797556.375142,7805281823.710976,4721506699.027033,12886549265.238049,7625241483.157389,11755007097.757875,8732795272.568146,6887247594.658475,11846837599.318342,16186018637.20717,12755118604.044765,14417566082.570702,26908165513.17205,15140113820.893774,88362709.83966322,15061967950.913542,11011153991.512775,-824897074.8170438,9290403559.693941,13738417454.83963,-10524054677.438444,6408164598.779431,17649710984.27332
16961677509.440872,19724781075.516678,5858721494.804236,7247518633.920565,1417217635.6181257,8267732868.183243,8709268814.67783,7146411244.284958,8039694837.097744,5053378869.545209,13103713884.258219,7914830924.064125,11958360999.80703,9080175759.997065,7215241399.044363,12125522478.763266,16444193504.439907,13031075920.234829,14686896081.894905,27233482776.262424,15433534138.810547,373040591.37486416,15333480103.368195,11202640379.410019,-576641310.1038643,9686170504.42467,14102307064.52095,-10100894814.678955,6754332481.675254,17919358493.513294
17297305122.60655,19978954634.599594,6125248944.152102,7480855983.199004,1685724061.0315216,8470382459.94331,8907483126.953766,7381988632.59023,8271009951.965761,5381832550.17957,13317117410.311028,8200653852.109774,12158179787.698381,9423256311.586222,7539397261.076334,12400109726.527277,16697751544.235836,13302714392.041647,14951821938.185844,27552130160.13274,15722308681.824633,655303366.3927811,15600431128.958715,11390878320.949797,-330303501.47147804,10077213280.765648,14461010724.88724,-9679606067.72948,7096552978.176734,18184087417.120308
17627641610.67707,20227974080.062298,6388567490.290033,7711171496.581716,1951856742.257797,8670111625.108732,9102712674.808132,7614521289.482703,8499219684.355408,5706851785.057501,13526764618.015799,8482702197.361833,12354465763.40003,9762023459.4654,7859702052.024557,12670595231.33794,16946697907.396902,13570033441.972649,15212342262.138548,27864119129.173397,16006435768.593544,935132700.7876338,15862822684.746197,11575869997.192682,-85901934.26558667,10463516935.790339,14814522673.19705,-9260232463.949472,7434811501.767433,18443905523.4614
17952681259.363953,20471846796.28001,6648665920.701333,7938457549.600604,2215597250.412227,8866917258.689653,9294955396.210022,7843999675.064137,8724315444.05736,6028419413.794477,13732658809.218437,8760966778.623646,12547220057.106846,10096462617.115831,8176141621.240207,12936973554.4653,17191036188.530052,13833031205.027758,15468454234.067774,28169459501.90768,16285912093.252445,1212508818.9342155,16120654938.635584,11757616072.440271,156543821.3652049,10845065282.640644,15162835910.020962,-8842819372.950733,7769092360.249535,18698818651.89765
18272416634.777683,20710578395.215923,6905531399.738851,8162704835.26344,2476925610.9741206,9060794556.341373,9484207711.530842,8070412830.189713,8946287224.221998,6346516763.459604,13934801462.293032,9035436980.302471,12736442401.047499,10426557704.507532,8488700323.523445,13199237602.771204,17430768108.821926,14091704190.474577,15720153266.40339,28468159189.22377,16560732477.424236,1487410197.2704332,16373926243.79645,11936115421.11498,397012657.1092186,11221840560.663023,15505941867.459915,-8427413794.011415,8099378517.307315,18948830449.4816
